Ref,Val,Package,PosX,PosY,Rot,Side
"U602","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-60.100000,90.000000,top
"U701","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-87.100000,0.000000,top
"U702","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-80.100000,90.000000,top
"U801","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-107.100000,0.000000,top
"U802","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-100.100000,90.000000,top
"U901","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-147.100000,0.000000,top
"U902","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-140.100000,90.000000,top
"U1001","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-127.100000,0.000000,top
"U1002","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-120.100000,90.000000,top
"U1101","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-167.100000,0.000000,top
"U1102","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-160.100000,90.000000,top
"U1201","TCA6408ARGTR","QFN50P300X300X100-17N",76.400000,-151.600000,-90.000000,top
"U1301","MUX507","DW28_TEX",95.400000,-121.600000,180.000000,top
"U1401","TPA6204A1DRBR","DRB8_1P75X1P5",80.900000,-111.100000,-90.000000,top
